mixture_id,run,arc_challenge:rc::olmes,arc_easy:rc::olmes,basic_skills:rc::olmes,basic_skills_arithmetic:rc::olmes,basic_skills_coding:rc::olmes,basic_skills_common_knowledge:rc::olmes,basic_skills_logical_reasoning:rc::olmes,basic_skills_pattern:rc::olmes,basic_skills_string_operations:rc::olmes,codex_humaneval:3shot::none,coqa:rc::gen2mc,csqa:rc::olmes,drop:rc::gen2mc,hellaswag:rc::olmes,jeopardy:rc::gen2mc,lab_bench_dbqa,lab_bench_protocolqa,lambada,mbpp:3shot::none,medmcqa:rc::none,medqa_en:rc::none,minerva_math_algebra::olmes,minerva_math_counting_and_probability::olmes,minerva_math_geometry::olmes,minerva_math_intermediate_algebra::olmes,minerva_math_number_theory::olmes,minerva_math_prealgebra::olmes,minerva_math_precalculus::olmes,mmlu_abstract_algebra:rc::olmes,mmlu_anatomy:rc::olmes,mmlu_astronomy:rc::olmes,mmlu_business_ethics:rc::olmes,mmlu_clinical_knowledge:rc::olmes,mmlu_college_biology:rc::olmes,mmlu_college_chemistry:rc::olmes,mmlu_college_computer_science:rc::olmes,mmlu_college_mathematics:rc::olmes,mmlu_college_medicine:rc::olmes,mmlu_college_physics:rc::olmes,mmlu_computer_security:rc::olmes,mmlu_conceptual_physics:rc::olmes,mmlu_econometrics:rc::olmes,mmlu_electrical_engineering:rc::olmes,mmlu_elementary_mathematics:rc::olmes,mmlu_formal_logic:rc::olmes,mmlu_global_facts:rc::olmes,mmlu_high_school_biology:rc::olmes,mmlu_high_school_chemistry:rc::olmes,mmlu_high_school_computer_science:rc::olmes,mmlu_high_school_european_history:rc::olmes,mmlu_high_school_geography:rc::olmes,mmlu_high_school_government_and_politics:rc::olmes,mmlu_high_school_macroeconomics:rc::olmes,mmlu_high_school_mathematics:rc::olmes,mmlu_high_school_microeconomics:rc::olmes,mmlu_high_school_physics:rc::olmes,mmlu_high_school_psychology:rc::olmes,mmlu_high_school_statistics:rc::olmes,mmlu_high_school_us_history:rc::olmes,mmlu_high_school_world_history:rc::olmes,mmlu_human_aging:rc::olmes,mmlu_human_sexuality:rc::olmes,mmlu_international_law:rc::olmes,mmlu_jurisprudence:rc::olmes,mmlu_logical_fallacies:rc::olmes,mmlu_machine_learning:rc::olmes,mmlu_management:rc::olmes,mmlu_marketing:rc::olmes,mmlu_medical_genetics:rc::olmes,mmlu_miscellaneous:rc::olmes,mmlu_moral_disputes:rc::olmes,mmlu_moral_scenarios:rc::olmes,mmlu_nutrition:rc::olmes,mmlu_philosophy:rc::olmes,mmlu_prehistory:rc::olmes,mmlu_professional_accounting:rc::olmes,mmlu_professional_law:rc::olmes,mmlu_professional_medicine:rc::olmes,mmlu_professional_psychology:rc::olmes,mmlu_public_relations:rc::olmes,mmlu_security_studies:rc::olmes,mmlu_sociology:rc::olmes,mmlu_us_foreign_policy:rc::olmes,mmlu_virology:rc::olmes,mmlu_world_religions:rc::olmes,mt_mbpp_v2fix:bash,mt_mbpp_v2fix:c,mt_mbpp_v2fix:cpp,mt_mbpp_v2fix:csharp,mt_mbpp_v2fix:go,mt_mbpp_v2fix:haskell,mt_mbpp_v2fix:java,mt_mbpp_v2fix:javascript,mt_mbpp_v2fix:matlab,mt_mbpp_v2fix:php,mt_mbpp_v2fix:python,mt_mbpp_v2fix:r,mt_mbpp_v2fix:ruby,mt_mbpp_v2fix:rust,mt_mbpp_v2fix:scala,mt_mbpp_v2fix:swift,mt_mbpp_v2fix:typescript,naturalqs:rc::gen2mc,piqa:rc::olmes,qasper_yesno:rc::olmes,sciq:rc::olmo3,sciriff_yesno:rc::olmes,socialiqa:rc::olmes,squad:rc::gen2mc,winogrande:rc::olmes,avg_bpb
0,1m4z4lar,1.7650838202068635,1.7304946802485432,2.012372641273291,2.5182511642148175,1.9060665805620036,1.7370339479442558,0.7198104994743839,1.8567185297729485,3.3363551256713353,1.454352163894894,1.641919050024968,1.8568468822619495,2.4590708948375988,1.2614700632945095,2.0989481672606267,5.588066618068977,2.319381703637305,1.6353842376314816,1.607588690975813,2.9483152710478406,2.77795474948163,1.7178121197769995,1.4125253502493784,1.7378585297719389,1.7837118251940711,1.5815109195059007,1.5308378836889271,1.5455443842266094,1.7305320173821233,2.5804260318305388,1.9634052132393025,2.005049909417241,2.230750777141663,2.1856705130106207,3.341471244884191,2.087704039206114,2.7501757703760767,2.3027001639355533,3.005826644212837,1.9471613354173216,1.7833662641509562,1.5497563513480743,2.3576642394581624,3.1809859280330053,2.8774181717279834,2.532677826327255,2.0127999412077524,2.985086717348419,1.9053801475860448,1.2927482239993353,1.7257038656915649,1.277246819913779,1.53647887815439,3.1043342261509617,1.6090635622523852,2.2413837820205655,1.8168288819536895,1.821815602817766,1.2260299650575197,1.2241158121259923,1.8351892471930296,1.8132331471999616,1.2360721986297871,1.5761788474228768,1.5968242490954982,1.946066132227926,1.5562118914206813,1.7354262744914504,2.7461018446362444,2.253915237322121,1.4531136214276936,0.4621312700903329,2.21831238996728,1.535701924350192,1.7993348823369688,1.7318866114020095,1.3129449766238437,2.584091575095601,1.659086400618891,1.8242391223076264,1.2347049509953791,1.2916727031855513,1.267397723174035,1.992892281164467,2.4770707521977555,1.71015431170753,1.1314979805103702,1.1449019791902326,1.0219639370416662,1.417505498950019,1.7132576753264552,0.8980924654256622,1.3165587619711,1.672086507424268,1.1518769288856132,1.607533911000247,1.7426855654930578,1.8769620731455563,1.7567240759302165,1.672205928168811,1.40983276243602,1.333077568034848,2.2952106522014115,1.624807398753171,0.3616582562287372,2.0495159977766058,0.5997521554796594,1.5953335053675626,1.4504094720887666,1.56703414167619,1.854486228421546
1,d4nbvsr7,1.5235196337283643,1.428111658206209,2.4033940293064275,2.4826511327315086,3.8788316241351946,1.698896484964853,0.8267968301426212,1.8132492638892672,3.719938839975121,2.7272261338456008,1.5414148908546137,1.7814420915492917,2.3632392824069677,1.1907853198505205,2.0183806704182814,5.333298118048188,1.9453021654099805,1.441207293840748,2.9781785728914425,2.12645639742544,1.591396739409816,1.596895319279554,1.3769190536294726,1.8112404631641923,1.6858125650933329,1.5152714366754965,1.4846737767021738,1.5199361280595776,1.6419289189501918,1.4562682948648984,1.607412903584769,1.86237144772554,1.5703956597394044,1.5053849505217722,2.6879986523502355,2.379382725911068,2.801180509508898,1.666621376902324,2.5736984591332472,2.201932362663632,1.5696443784526857,1.5602360484273698,2.1710500477534835,2.8430777376605665,2.953329720730376,2.353192563358041,1.51179411763876,2.2610976240663674,2.267729748648209,1.3803961293826323,1.6976946608794916,1.3782204674988876,1.5435930017329564,3.0059980805500137,1.5625858202905945,2.036447950662653,1.5487616968719355,1.7483936445359405,1.427457928990738,1.3672766403243342,1.4908822842752223,1.6105441900902633,1.2687588609426432,1.6306304996347152,1.548867330703531,2.070427283654937,1.583235476239643,1.697368750074144,1.9505940231350076,2.177857875681714,1.4219496837273258,0.6074392648528398,1.4725462834797751,1.504334913448245,1.8911106439540517,1.7046282210224677,1.308045241931432,1.5135033689919797,1.459179763542172,1.8167334152599812,1.2069725777586482,1.2955696890465385,1.3185114685273411,1.4846323925159204,2.607946056000414,3.414946051347682,2.528223866982913,2.681181148475207,2.250939701527285,2.7742598210935245,2.892061759904802,2.1842932149020275,2.781510212178629,2.6279444981703786,2.687482508117685,2.9781121764591667,2.867006608033624,3.303559699403986,3.2383943957403014,3.2709488311209096,2.8562429065853188,2.7105923604350903,2.149236004002201,1.5299043657755071,0.3706282656575627,1.4822262241561674,0.5675612949374792,1.6558419396125357,1.364251495076746,1.543354422650489,1.9845453956071315
2,ube633ci,1.6794704849083235,1.6061385486262678,2.5171828196688657,2.6320355629732237,4.187926593931956,1.7337241140543695,0.8061331360422472,1.9170698004275952,3.826207710583804,2.908112287249822,1.629062843132146,1.8886957307594243,2.4575212718720083,1.2492108049569632,2.020590045314319,5.740673028188457,2.2913913743530876,1.23502579062718,3.2380998636588085,2.864636807135683,2.7099764875055623,2.622827870208098,1.9572765285744196,2.5939665103179212,2.7773187813970086,2.3265405849612537,2.2166894093384433,2.684338356216262,2.0808650005939224,2.3035241996017297,1.91732037259734,2.0169399936547965,2.1782205663367047,2.0636776815503017,3.391146686828125,2.5558305075052825,3.2207802832091095,2.219978671562073,3.2660287868171487,2.1998548624304273,1.68946563996432,1.740574399223758,2.213388682251649,3.2171256295169153,3.1409134514474792,2.4458212832229775,1.916288511073753,3.059614326991508,2.4453419720147567,1.2859623021202442,1.7694983560198725,1.3802572469317207,1.6026060111701126,3.4351757500932454,1.6616134155045326,2.350403795862246,1.709324667786868,1.952963926225275,1.3832883485874232,1.2988784121528565,1.784770091312522,1.9114345259700667,1.2562768004933,1.4864153318312765,1.373218150218646,2.421788661229312,1.5623108463315385,1.7437690329121374,2.6877267899640827,2.2325102309741,1.378713313576426,0.4414704462264265,2.218593368868579,1.4296633408792874,1.9240645739196172,1.828248018511292,1.297281763942019,2.434668317577489,1.5778891270777335,1.8440175289740008,1.1954455396843628,1.2658612630005488,1.344486358663282,1.9808245053890776,2.524646203534392,3.5195672846416697,2.654141520464811,2.9110986856142316,2.3627868189861587,3.018329199514596,3.097921823847287,2.3394874217034123,3.075780061783467,2.947695355831161,2.931960531270314,3.2379346520266012,3.27433637897429,3.617038733982643,3.4152118489413072,3.4920502936569284,3.035419607658956,2.917023529317774,2.3314522583027912,1.597856906090655,0.5949354994972558,1.900316937410364,1.074919605373138,1.6889062993117616,1.502547145045896,1.5355639052289063,2.2422808483942704
3,8sqa2jjf,1.730894211966672,1.657521174773443,2.5658894907185057,2.515916773827347,4.32372352347939,1.707941808839737,0.8588240385941821,2.0526187278292394,3.93631207174114,3.051591607665475,1.615801135799702,2.0210054201793226,2.3776855587213332,1.2916557905665118,2.1257591698708818,5.770934209441007,2.2292850378746603,1.7031927166645455,3.3917845188058178,2.835017466212093,2.5839837946960835,2.436595994138975,1.8627769276011483,2.5263852088410115,2.643286653676157,2.2170589127334166,2.08157527192486,2.547360144639631,2.0750922743578957,2.3763274568187684,1.9391968868362937,1.9370706937629532,2.0884279260773915,1.9957310515203115,3.434338485983584,2.66805142621497,3.3368600475822343,2.1209398441769483,3.292990431233682,2.3792271656454007,1.7437557444813323,1.5752345750761385,2.5149564907086974,3.2267492312917363,3.47915602972245,2.9639121260431223,1.8922920627491404,3.120431733744741,2.619326154227735,1.212647163396222,1.601600629922345,1.0747771666869843,1.3425032848539151,3.3704726333650123,1.4464232727896325,2.475486194615919,1.716387268420887,2.000114214958925,1.2065358229316363,1.228523093481969,1.7215034381423824,1.903299839199774,1.0792176027040836,1.4601923348733772,1.4252241158298096,2.433668731016575,1.4443249629067645,1.5413387299670511,2.51264572933339,2.3239259140880857,1.3673658970766016,0.6739373723765509,2.0956720252519916,1.4661324851686302,1.9263407314183385,1.6429780404084997,1.2131903964896558,2.32281726375513,1.520524315040351,1.7923063737837537,1.1372632679683692,1.233103353559455,1.1977298037906328,1.8560416279931544,2.266799656322198,3.789689369943131,2.940761647954788,3.133219523443795,2.551677947738314,3.310418734073935,3.275241660396627,2.6150978545318253,3.248178537253332,3.051157015492807,3.103360453431545,3.3917357048306425,3.6826392599776026,3.839397026536578,3.692374362182935,3.781552721451763,3.2280282500599093,3.1904275137458016,2.3575446643747515,1.6847673005012562,0.5806511713507734,1.898820566281555,0.703221369748445,1.6985340602150738,1.4688378666423856,1.5826801088061302,2.267958860408469
4,9xuqfdjn,1.6898845860830034,1.6842881811088548,2.6001218951344476,2.6558444991940484,4.383579613631316,1.7388502181755183,0.9395646090282744,1.958466531572017,3.9244258992055103,3.226694802945836,1.637300810750426,2.1854182285212684,2.5316850148693377,1.234696381777517,2.2786084041237857,5.70720781486303,2.1746199454033217,1.9106277192710708,3.525858501738582,2.872998812814513,2.7090543271294725,2.6138378190983493,1.9981195343071991,2.6344693262662693,2.85125081007901,2.356598356321511,2.1793939999217384,2.7230250766412083,2.5261664179537866,2.491284032619655,2.0182108289928,2.065086483334603,2.0593280881441696,2.1517834003648715,3.4563904763659625,2.7594819728958453,3.323563658987808,2.131623434371164,3.0744807525529847,2.409083521541768,1.7439690536101369,1.7295154438882454,2.3585090662617545,3.182013966106117,3.6571417340818937,2.3082561920596016,2.030294159969026,3.051238636708846,2.651660781797068,1.4611946740078638,1.7751178309672837,1.360251915677843,1.5239347254694746,3.333630859063005,1.5573298314175623,2.3905942101471247,1.9455400393778803,2.0190300011526108,1.4466817166361987,1.4296793220378794,1.7722880973070527,2.0511349422348504,1.2724507805722316,1.7227299796055937,1.6715195347358638,2.5259533347473324,1.5922791847464886,1.6868647999271678,2.8063482052535824,2.3433370518290797,1.5456799517778563,0.6803861265916822,1.8639779523585784,1.6119054012127303,2.039313149335814,1.6806905164615802,1.312813805225375,2.480920808002859,1.7070793572318117,1.9047384428308496,1.2563185626453268,1.3689239331961318,1.383542349565276,2.057909143678678,2.893101757553904,3.93346017585969,3.1638620400045676,3.247992751883035,2.6963844945247852,3.4262595355643546,3.3128815215975917,2.6811370148906697,3.392538103183275,3.239122861286955,3.250568785392093,3.52576958546076,3.604919555012579,3.894321943960083,3.794825412015303,3.836622790580842,3.3041738680839323,3.2645402864417647,2.388612792530923,1.4135856164830325,0.7525141869619095,2.0494927809294556,1.0313227005822283,1.825200746086611,1.5581042017681432,1.5840111043101333,2.361390827023288
5,7zina0mg,1.719568060754767,1.632619762940281,2.669863096524663,2.6502042652084574,4.449264764654285,1.87256482500297,0.8881534076674626,2.2239556850561533,3.9350356315586463,3.1292059709998807,1.4944862408390154,1.8757792852448647,2.320204083510786,1.2358110618171188,2.144834461777146,5.784792906458083,2.3099237451677523,1.6624318833961511,3.459470764062329,2.752793350878458,2.5173716256516987,2.8659478175619006,2.1598827937897767,2.819592030436966,3.050178118775968,2.541233600482854,2.408605615793638,3.0028353795332983,2.0992990478511624,2.2792544003666557,1.9812114780471295,1.8856379530114524,2.0976723341265293,2.0911534607989273,3.5198724189229726,2.608315584475933,3.222712768127131,2.2176198949773567,2.940718461842537,2.1994197939507685,1.6947904424168645,1.7040909083953169,2.4393755707934157,3.195020576160154,3.5583515301650808,2.3347434513934844,1.9697126074679177,3.1900642995015707,2.5481951638470326,1.347278576065455,1.7144502238296828,1.1359399415929976,1.5519853435708948,3.360055686120635,1.631660400655208,2.437538132396922,1.7329797638376507,1.9981919912450876,1.3147407587887423,1.3196197516268238,1.702931442807224,1.7875712220423312,1.0242404040302069,1.4720051810734076,1.5468892935079932,2.5525462710834215,1.528495172363209,1.6663950654548376,2.6323700209436827,2.2177258054424747,1.4055402721238333,0.6203167644606193,2.1319394022912874,1.517843511747422,1.961084596749728,1.6556350786798264,1.0617929277299567,2.266889898708202,1.5371498964351469,1.7787127745355638,1.1563376851704563,1.2426253315503717,1.2990221227091894,1.8810085088875477,2.527729448391673,3.748328822742752,2.9519429022840793,3.0806220061669736,2.583758093471755,3.229689505937022,3.296824771070116,2.514971704407383,3.170638090383905,3.023147539295793,3.0187314268350933,3.459383160734193,3.564192956141427,3.819386193310219,3.651616817614747,3.727120652484343,3.250630421720401,3.1367374621806627,2.2816420086189053,1.5842755209553545,0.7102484933983412,1.8697380204778604,1.0072205238526444,1.6592982150541105,1.4341498348538295,1.5711262524216707,2.294713658611346
6,ugzhxwii,1.764526074907705,1.720678849845939,2.597761284180073,2.553189398794598,4.257281925957804,1.7482527322002432,0.8969237619559599,2.194064447241584,3.9368554389302504,3.110461001112301,1.656184057735863,1.9672934502251729,2.4661748938126067,1.2297395369891035,2.3060804088697933,5.833066879702063,2.2008600099049755,1.7203017673316172,3.439732559272742,2.742076978539198,2.500054629984043,2.706822608680423,2.047532301775629,2.7211989525899756,2.919657282261113,2.4646679307989894,2.2967555551017873,2.8981720868372154,2.2540870734124474,2.191020820920038,2.054436704699439,1.9807651461326368,1.9186821982340665,2.056625877803852,3.6011565387762476,2.633061040583338,3.200046310072937,1.903706157493688,3.3327132677226667,2.3575259696710913,1.7780176742309228,1.6748767362623889,2.518648803692581,3.379079724077112,3.5040960535292323,2.6727621771074324,1.9773528950954384,3.161942928617736,2.6237745969727575,1.46915559972687,1.821747405190452,1.345537579168553,1.5980705122321193,3.583284337745853,1.6125736096836296,2.4773776984050566,1.7126997076765642,1.9574711974695975,1.453808342692815,1.4419398168463644,1.7432028029878766,1.876472733895966,1.2996170118788128,1.6407746085888115,1.6280015262588696,2.404588543322448,1.5373464612518042,1.7054756457992906,2.7533276692568704,2.2997177326362137,1.512833821914028,0.5692957473370843,1.855706055257981,1.6107665191606766,2.063293259692795,1.7369107492802978,1.3401990827719503,2.323381670014703,1.5789970386484042,1.8306708324635803,1.2479174397468964,1.331729017360915,1.3784493038345211,2.0114604858731164,2.880742917378875,3.886664171469001,3.0945754958540923,3.308590841597678,2.587771263923908,3.3884558553852244,3.266851207487405,2.645996790162411,3.302128560847728,3.119292701374472,3.2084889858779446,3.439648375178782,3.575795597609394,3.805835111558773,3.700262386339841,3.683866516320395,3.280633867671809,3.1477685963893567,2.350527027570231,1.6205798029094869,0.4718509939588408,1.9171169851224927,0.8681125733791056,1.7081706539580508,1.5094897143192634,1.5634284044704525,2.334156295134851
7,z83ne5au,1.7601986002635486,1.6555336236983142,2.630284849470512,2.6844263448159484,4.520338115717851,1.7452722133421643,0.920293040762241,2.035610801308868,3.875768580875999,3.332452083103608,1.5975849953615806,1.867141339576445,2.3800122694889025,1.2256051356992888,2.1731891057392247,5.698655051036965,2.4028292947278147,1.4452527213933917,3.695739922042145,2.8284028407774175,2.6081992777620995,3.2069453011143514,2.430003446473638,3.165058398322036,3.5005950283821696,2.7637736345442314,2.68431444418429,3.538798273833278,2.2217315615292517,2.3606114906017117,1.979780823693543,2.0879342383807695,2.1587162824634003,2.140533052124202,3.661768728526078,2.829952831834648,3.3102805971463143,2.2203670207901,3.371449228035041,2.4873713161092867,1.7883026861414082,1.8545910125159029,2.6126105039259353,3.1309556646165255,3.8237157604526737,2.377593891835901,2.026995607642059,3.184280164733333,2.645961022724044,1.399044549951136,1.6911270058424748,1.4333521965755447,1.585367888463107,3.9204838315052095,1.6898141545145815,2.542245867964259,1.8300959782698791,2.099156849600269,1.4619330021188282,1.3458476771710128,1.7609631765436344,1.7688045255716596,1.3200041476626403,1.7149281540984498,1.700871461391007,2.5066017926495543,1.6689770122969034,1.7337827102501473,2.7732201970454065,2.214735361196957,1.5627048221511068,0.4208348567683787,2.0540955864431685,1.6406422161740628,1.883106915601418,1.763384060659564,1.3667027439134112,2.3741747357065326,1.6758970959007764,1.8654203549568964,1.307814983521503,1.331818026131782,1.4263245626237626,1.926355864802464,2.52897270978631,3.973613273298425,3.2815217177573777,3.339982425112943,2.7727627885049086,3.503474327164824,3.386182088636009,2.8210188339758115,3.522261885283835,3.268579744837359,3.267906802946073,3.6957327975559178,3.917680358865152,3.9329641841113774,3.9196380390130217,3.88704961857962,3.4558819272686714,3.416100584418704,2.3343925382322412,1.5915446249649907,0.7138041325396903,1.9261083914185435,1.0328179721909791,1.784048374113688,1.514454674889738,1.5371390313773436,2.4157640948411045
8,l4vlfye3,1.7596300567886505,1.6936712641870053,2.47498073457302,2.5040062892397073,4.021276028625395,1.894280783065996,0.9096126146622652,1.7447445514650557,3.775964140379702,2.7387700477549948,1.6923550718242184,1.8914899990616103,2.409861772286358,1.2697838840366518,2.2660140051808044,5.674409703921781,2.270751690096554,1.4794486865623513,3.098625945653036,2.9807854976765693,2.7778606898502383,2.3302736815210516,1.712957100960207,2.379685091789334,2.5768352711314626,2.0782326104157063,1.9733159667042832,2.4744788148911354,1.892895459947805,2.4785454857408675,1.9405274641065364,1.964489936960774,2.2652006043880624,2.1920894845815457,3.556533788327877,2.565720967062747,3.0276674711974674,2.295562949964088,3.1978341022185357,2.3151120062995356,1.716195015924072,1.7691791982315623,2.5132122683557263,3.090525019772881,3.208608727325203,2.526226121283453,2.020132406373119,3.0952777580388005,2.3878070275564953,1.4517449429223956,1.8134954044263456,1.409419558918361,1.5553358356446998,3.308199090270179,1.6435325655102602,2.363922252468071,1.8085619866163207,1.9945522497135968,1.494064096408256,1.3920062320814872,1.8598585453379572,2.0359985478075253,1.315905695354907,1.668827342015299,1.598715794808198,2.459713437432897,1.67224322315337,1.7476999313508934,2.7379346230822987,2.5220925641541956,1.5263014757653446,0.8435445711162118,2.237213422880068,1.5916133774366428,2.0324901697915503,1.7544715031893776,1.3435073871721075,2.563940844102086,1.6699952739775874,1.94546740572137,1.2663150395546383,1.381207814114382,1.3663350170175488,2.018075749855551,2.7983981001093112,3.374099433868169,2.495451207339028,2.681493218901951,2.1955897074314934,2.808736160335264,2.993437177188084,2.122249718966736,2.7854447526918573,2.7274623665389295,2.5463335493037853,3.0985914660613396,3.001275765761704,3.403194796545154,3.147428510382829,3.3325311298568936,2.737943901733058,2.724919243229608,2.497767171428586,1.6470124269973525,0.4417431017913807,1.9957901414107957,0.8117757597315837,1.6456092949876169,1.5467735038608186,1.5747465822585935,2.2309413310713286
